s,n,i,m
A,Agilent Technologies,Diagnostics & Research,34558992000
AA,Alcoa,Aluminum,6081689817
AAC,Ares Acquisition,Shell Companies,761009336
AACG,ATA Creativity Global,Education & Training Services,43588542
AACI,Armada Acquisition I,Shell Companies,95963024
AACT,Ares Acquisition Corporation II,Shell Companies,114412500
AADI,Aadi Bioscience,Biotechnology,153953100
AAIC,Arlington Asset Investment,REIT - Mortgage,127905404
AAL,American Airlines Group,Airlines,11980035610
AAMC,Altisource Asset Management,Asset Management,92053287
AAME,Atlantic American,Insurance - Life,39919712
AAN,The Aaron's Company,Rental & Leasing Services,472284936
AAOI,Applied Optoelectronics,Semiconductors,209917083
AAON,AAON,Building Products & Equipment,5123624988
AAP,Advance Auto Parts,Specialty Retail,4124217782
AAPL,Apple,Consumer Electronics,2999148595323
AAT,American Assets Trust,REIT - Diversified,1517974337
AAU,Almaden Minerals,Gold,18250392
AB,AllianceBernstein Holding L.P.,Asset Management,3575879040
ABBV,AbbVie,Drug Manufacturers - General,239061301504
ABC,AmerisourceBergen,Medical Distribution,38603154267
ABCB,Ameris Bancorp,Banks - Regional,2387156037
ABCL,AbCellera Biologics,Biotechnology,1879619280
ABCM,Abcam,Biotechnology,5607538625
ABEO,Abeona Therapeutics,Biotechnology,76802838
ABEV,Ambev,Beverages - Brewers,47714925097
ABG,Asbury Automotive Group,Auto & Truck Dealerships,5247429488
ABIO,ARCA biopharma,Biotechnology,29684806
ABL,Abacus Life,Medical Laboratories & Research,124568856
ABM,ABM Industries,Specialty Business Services,2750350680
ABNB,Airbnb,Travel Services,79933210993
ABOS,Acumen Pharmaceuticals,Biotechnology,207587006
ABR,Arbor Realty Trust,REIT - Mortgage,2659443363
ABSI,Absci,Biotechnology,133204746
ABST,Absolute Software,Software - Application,605570280
ABT,Abbott Laboratories,Medical Devices,184937334202
ABUS,Arbutus Biopharma,Biotechnology,375462840
ABVC,ABVC BioPharma,Biotechnology,16184128
AC,Associated Capital Group,Capital Markets,763626963
ACA,Arcosa,Infrastructure Operations,3655048474
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,114223387
ACAC,Acri Capital Acquisition,Shell Companies,62697351
ACAD,ACADIA Pharmaceuticals,Biotechnology,3968049805
ACAH,Atlantic Coastal Acquisition,Shell Companies,125831160
ACAQ,Athena Consumer Acquisition,Shell Companies,121855188
ACAX,Alset Capital Acquisition,Shell Companies,122679500
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,196194712
ACBA,Ace Global Business Acquisition,Shell Companies,42480856
ACCD,Accolade,Health Information Services,896983660
ACCO,ACCO Brands,Business Equipment & Supplies,522045700
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1944533212
ACEL,Accel Entertainment,Gambling,897893286
ACER,Acer Therapeutics,Biotechnology,21824600
ACET,Adicet Bio,Biotechnology,138323472
ACGL,Arch Capital Group,Insurance - Diversified,27853516768
ACGN,Aceragen,Biotechnology,13646070
ACHC,Acadia Healthcare Company,Medical Care Facilities,7072867002
ACHL,Achilles Therapeutics,Biotechnology,37359510
ACHR,Archer Aviation,Aerospace & Defense,1008942429
ACHV,Achieve Life Sciences,Biotechnology,106676856
ACI,Albertsons Companies,Grocery Stores,12600562065
ACIU,AC Immune,Biotechnology,248923262
ACIW,ACI Worldwide,Software - Infrastructure,2472991260
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,5661310077
ACLX,Arcellx,Biotechnology,1553549595
ACM,AECOM,Engineering & Construction,11927504876
ACMR,ACM Research,Semiconductor Equipment & Materials,735026180
ACN,Accenture,Information Technology Services,192871881646
ACNB,ACNB Corporation,Banks - Regional,276920717
ACNT,Ascent Industries Co.,Steel,91556100
ACON,Aclarion,Health Information Services,5658607
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,17059457
ACR,ACRES Commercial Realty,REIT - Mortgage,76275914
ACRE,Ares Commercial Real Estate,REIT - Mortgage,555351156
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,437718460
ACRS,Aclaris Therapeutics,Diagnostics & Research,724463850
ACRV,Acrivon Therapeutics,Biotechnology,250833440
ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,14201590
ACST,Acasti Pharma,Biotechnology,23198656
ACT,Enact Holdings,Insurance - Specialty,4100925577
ACTG,Acacia Research,Specialty Business Services,246643080
ACU,Acme United,Household & Personal Products,93713380
ACVA,ACV Auctions,Auto & Truck Dealerships,2721918353
ACXP,Acurx Pharmaceuticals,Biotechnology,29579376
ADAG,Adagene,Biotechnology,79733600
ADAP,Adaptimmune Therapeutics,Biotechnology,202548600
ADBE,Adobe,Software - Infrastructure,221186066000
ADC,Agree Realty,REIT - Retail,6068147824
ADCT,ADC Therapeutics,Biotechnology,181445616
ADD,Color Star Technology Co.,Entertainment,18132660
ADEA,Adeia,Software - Application,1159062400
ADER,26 Capital Acquisition,Shell Companies,111393708
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,46289300
ADEX,Adit EdTech Acquisition,Shell Companies,98357910
ADI,Analog Devices,Semiconductors,92917766615
ADIL,Adial Pharmaceuticals,Biotechnology,6326745
ADM,Archer-Daniels-Midland Company,Farm Products,42486976974
ADMA,ADMA Biologics,Biotechnology,802405501
ADMP,Adamis Pharmaceuticals,Drug Manufacturers - Specialty & Generic,6416931
ADN,Advent Technologies Holdings,Utilities - Renewable,33440617
ADNT,Adient,Auto Parts,3703783331
ADOC,Edoc Acquisition,Shell Companies,40205596
ADP,Automatic Data Processing,Staffing & Employment Services,90366526770
ADPT,Adaptive Biotechnologies,Biotechnology,871638488
ADRT,Ault Disruptive Technologies,Shell Companies,156543750
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,284503134
ADSK,Autodesk,Software - Application,43080749820
ADT,ADT Inc.,Security & Protection Services,5713821029
ADTH,AdTheorent Holding Company,Advertising Agencies,123812529
ADTN,ADTRAN Holdings,Communication Equipment,832959585
ADTX,Aditxt,Biotechnology,3018367
ADUS,Addus HomeCare,Medical Care Facilities,1400861735
ADV,Advantage Solutions,Advertising Agencies,765008160
ADVM,Adverum Biotechnologies,Biotechnology,170977500
ADXN,Addex Therapeutics,Biotechnology,10255796
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,85291982
AEAE,AltEnergy Acquisition,Shell Companies,295260000
AEE,Ameren,Utilities - Regulated Electric,21602215682
AEG,Aegon,Insurance - Diversified,9829734154
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,15112069
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,1108307002
AEI,Alset EHome International,Real Estate - Development,15792055
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,4050261567
AEL,American Equity Investment Life Holding Company,Insurance - Life,4119369384
AEM,Agnico Eagle Mines,Gold,23922950646
AEMD,Aethlon Medical,Medical Devices,10775559
AENT,Alliance Entertainment Holding,Entertainment,110905808.96
AENZ,Aenza,Engineering & Construction,175557149
AEO,American Eagle Outfitters,Apparel Retail,2345717975
AEP,American Electric Power Company,Utilities - Regulated Electric,43391734064
AER,AerCap Holdings,Rental & Leasing Services,14948181440
AES,The AES Corporation,Utilities - Diversified,14116296240
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,1798000000
AEVA,Aeva Technologies,Auto Parts,292218067
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,9505032
AEYE,AudioEye,Software - Application,61428937
AEZS,Aeterna Zentaris,Biotechnology,13305111
AFAR,Aura FAT Projects Acquisition,Shell Companies,153449100
AFBI,Affinity Bancshares,Banks - Regional,77767095
AFCG,AFC Gamma,REIT - Specialty,258570160
